JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
17|17|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat22|normal|0|17|8|00:00:00
15|15|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|3|6|6|2800Mn|00:18:00|sxat[19-21]|normal|0|15|8|00:00:00
14|14|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat18|normal|0|14|7|00:00:00
12|12|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|3|6|6|2800Mn|00:18:00|sxat[15-17]|normal|0|12|8|00:00:00
10|10|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|10|1|00:00:00
9|9|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[9,11-13]|normal|0|9|8|00:00:00
6|6|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[4-6,8]|normal|0|6|8|00:00:00
3|3|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat3|normal|0|3|8|00:00:00
2|2|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:00|2021-01-01T00:17:40|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat2|normal|0|2|8|00:00:00
58|58|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat7|normal|0|58|1|00:00:00
57|57|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat7|normal|0|57|1|00:00:00
55|55|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat56|normal|0|55|1|00:00:00
52|52|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat56|normal|0|52|1|00:00:00
49|49|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat56|normal|0|49|1|00:00:00
47|47|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat56|normal|0|47|2|00:00:00
46|46|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat40|normal|0|46|1|00:00:00
43|43|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat40|normal|0|43|1|00:00:00
41|41|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat50|normal|0|41|3|00:00:00
40|40|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat40|normal|0|40|1|00:00:00
37|37|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat40|normal|0|37|1|00:00:00
34|34|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat40|normal|0|34|1|00:00:00
