JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
26|26|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat29|normal|0|26|3|00:00:00
24|24|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|2|4|4|2800Mn|00:18:00|sxat[27-28]|normal|0|24|8|00:00:00
22|22|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat26|normal|0|22|1|00:00:00
21|21|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|5|10|10|2800Mn|00:18:00|sxat[20-22,24-25]|normal|0|21|8|00:00:00
17|17|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat19|normal|0|17|8|00:00:00
15|15|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|3|6|6|2800Mn|00:18:00|sxat[16-18]|normal|0|15|8|00:00:00
14|14|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat15|normal|0|14|7|00:00:00
12|12|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|3|6|6|2800Mn|00:18:00|sxat[12-14]|normal|0|12|8|00:00:00
9|9|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[8-11]|normal|0|9|8|00:00:00
8|8|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat7|normal|0|8|3|00:00:00
6|6|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|4|8|8|2800Mn|00:18:00|sxat[3-6]|normal|0|6|8|00:00:00
3|3|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat2|normal|0|3|8|00:00:00
2|2|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:17:25|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|2|8|00:00:00
58|58|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat69|normal|0|58|1|00:00:00
57|57|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat69|normal|0|57|1|00:00:00
55|55|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat53|normal|0|55|1|00:00:00
52|52|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat53|normal|0|52|1|00:00:00
49|49|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat53|normal|0|49|1|00:00:00
47|47|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat53|normal|0|47|2|00:00:00
46|46|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:15|2021-01-01T00:17:55|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat35|normal|0|46|1|00:00:00
