1,1,28601
2,8,168288
3,8,146480
4,1,7672
5,2,15394
6,32,762560
7,1,36660
8,3,122487
9,32,551584
10,1,12425
11,2,22100
12,24,121296
13,1,17520
14,7,251461
15,24,481992
16,1,21420
17,8,85424
18,8,3912
19,1,35499
20,2,37274
21,40,528280
22,1,12154
23,4,45660
24,16,118368
25,1,24452
26,3,7989
27,40,868800
28,1,23106
29,6,107982
30,8,235392
31,1,24064
32,3,36213
33,32,215072
34,1,4078
35,8,10248
36,32,433632
37,1,30207
38,5,64960
39,32,1294240
40,1,35108
41,3,83052
42,8,27936
43,1,33984
44,3,95736
45,32,444288
46,1,19804
47,2,78420
48,40,395080
49,1,37501
50,8,167336
51,40,323040
52,1,22079
53,6,9150
54,16,350144
55,1,33861
56,8,99144
57,1,7036
58,1,29902
